gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,equivalent,reference,comment
lemon juice,,lemon juice,,b,2,juice/smoothie,fruit,,,,incomplete,1,,,
diet soda,,diet soda,,b,2,soda,diet,,"caffeine, artificial sweetener",,complete,4,,,
chai tea,,black tea with milk or water,,b,2,tea,black,,caffeine,,incomplete,1,,,
mint tea,,mint tea,,b,2,tea,herbal,,,,complete,1,,,
soya milk,,soy milk,soy milk,b,2,dairy alternative,soy,,,,complete,4,,,
decaf tea,,decaf tea,,b,2,tea,,,decaffeinated,,complete,1,,,
ginger tea,,ginger tea,,b,2,tea,herbal,,,,complete,1,,,
greek yoghurt,,greek yogurt,greek yogurt,b,2,dairy,yogurt,,fermented,,complete,1,,,
white tea,,white tea,,b,2,tea,white,,caffeine,,complete,1,,,
rooibos tea,,rooibos tea,,b,2,tea,herbal,,,,complete,1,,,
green smoothie,,green smoothie,,b,2,juice/smoothie,,,,,incomplete,1,,,
lemon water,,lemon water,,b,2,juice/smoothie,fruit,,,,incomplete,1,,,
oat milk,,oat milk,,b,2,dairy alternative,oat,,,,complete,4,,,
electrolyte,,,,b,1,,,,electrolytes,,vague,,,,
chamomile,,chamomile tea,,b,1,tea,herbal,,,,complete,,,,
matcha,,green tea,,b,1,tea,green,,caffeine,,complete,,,,
coffe,,coffee,coffee,b,1,coffee,,,caffeine,,complete,,,,
cocktail,,cocktail,,b,1,alcohol,liquor,mixed,,,incomplete,,,,
apple cider,,apple cider,,b,2,juice/smoothie,fruit,,,,incomplete,2,,,
acv,,,,b,1,,,,,,vague,,,,
alcohol,,alcohol,,b,1,alcohol,,,,,complete,,,,
almond milk coffee,,coffee with almond milk,coffee with almond milk,b,3,"coffee, dairy alternative",nut,,caffeine,,complete,4,,,
banana smoothie,,banana smoothie,,b,2,juice/smoothie,fruit,,,,incomplete,1,,,
berry smoothie,,berry smoothie,,b,2,juice/smoothie,fruit,,,,incomplete,1,,,
black coffee no sugar,,coffee,,b,4,coffe,,,caffeine,,complete,1,,,
black tea milk,,black tea with milk,black tea with milk,b,3,"tea, dairy","black, alternative",,"caffeine, saturated fat",,complete,1,,,
