gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list
digest spectrum,,,,m,2,supplement,digestive health,,,,,,['supplement'],['digestive health'],,,
digestive enzyme,,,,m,2,supplement,digestive health,,,,,,['supplement'],['digestive health'],,,
digoxin,digoxin,,,m,1,prescription,"heart failure, arrhythmia",,,,,,['prescription'],"['heart failure', 'arrhythmia']",,,
diltiazem,diltiazem,,,m,1,prescription,"heart rate control, angina",,,calcium channel blocker,,,['prescription'],"['heart rate control', 'angina']",,,['calcium channel blocker']
diosmin,,,,m,1,supplement,"hemorrhoid, leg sore",,,,,,['supplement'],"['hemorrhoid', 'leg sore']",,,
diovan,valsartan,,,m,1,prescription,"hypertension, heart failure",,,ARB,,,['prescription'],"['hypertension', 'heart failure']",,,['ARB']
diphenhydramine,diphenhydramine,,,m,1,"prescription, otc","pain relief, itching, hay fever, allergy, cold, insomnia, motion sickness",,,,,,"['prescription', 'otc']","['pain relief', 'itching', 'hay fever', 'allergy', 'cold', 'insomnia', 'motion sickness']",,,
docusate,,,,m,1,otc,constipation,laxative,,,,,['otc'],['constipation'],['laxative'],,
domperidone,domperidone,,,m,1,prescription,"nausea, vomiting, gastroparesis",,,,,,['prescription'],"['nausea', 'vomiting', 'gastroparesis']",,,
doxepin,doxepin,,,m,1,prescription,"depression, anxiety, insomnia",,,,,,['prescription'],"['depression', 'anxiety', 'insomnia']",,,
doxycycline,doxycycline,,,m,1,prescription,"anthrax, malaria, acne, rosacea",,,,,,['prescription'],"['anthrax', 'malaria', 'acne', 'rosacea']",,,
doxycycline monohydrate,doxycycline,,,m,2,prescription,"bacterial infection, rosacea",,,,,,['prescription'],"['bacterial infection', 'rosacea']",,,
dr formulated fitbotic,,dr formulated = brand. Fitbiotic = probiotic for weight loss,fitbiotic,m,3,supplement,weight loss,,,,,,['supplement'],['weight loss'],,,
dr jacob base,,,,m,3,supplement,general health,,,,,,['supplement'],['general health'],,,
dropodex,dropodex,,,m,1,prescription,eye health,,,,,,['prescription'],['eye health'],,,
dulcolax,bisacodyl,,,m,1,"prescription, otc",constipation,,,,,,"['prescription', 'otc']",['constipation'],,,
dulera,"mometasone, formoterol",,,m,1,prescription,asthma,,,,,,['prescription'],['asthma'],,,
duloxetine,duloxetine,,,m,1,prescription,"depression, generalized anxiety disorder, fibromyalgia, diabetic peripheral neuropathy, chronic musculoskeletal pain",,,,,,['prescription'],"['depression', 'generalized anxiety disorder', 'fibromyalgia', 'diabetic peripheral neuropathy', 'chronic musculoskeletal pain']",,,
duodart,"dutasteride, tamsulosin",,,m,1,prescription,benign prostatic hyperplasia,,,,,,['prescription'],['benign prostatic hyperplasia'],,,
duotrav,travoprost,,,m,1,prescription,"glaucoma, raised eye pressure",,,,,,['prescription'],"['glaucoma', 'raised eye pressure']",,,
dymista,,,,m,1,otc,allergy,,,,,,['otc'],['allergy'],,,
dyrenium,triamterene,,,m,1,prescription,edema,,,diuretics,,,['prescription'],['edema'],,,['diuretics']
eaa,,,,m,1,supplement,general health,,,,,,['supplement'],['general health'],,,
echinacea,,echinacea,,m,1,supplement,cold,,,,,,['supplement'],['cold'],,,
edurant,rilpivirine,,,m,1,prescription,hiv,,,,,,['prescription'],['hiv'],,,
effexor,venlafaxine,,,m,1,prescription,"depression, generalized anxiety disorder, social anxiety disorder, panic disorder",,,,,,['prescription'],"['depression', 'generalized anxiety disorder', 'social anxiety disorder', 'panic disorder']",,,
egcg,,,,m,1,supplement,"inflammation, weight loss",,,,,,['supplement'],"['inflammation', 'weight loss']",,,
