gram_key,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list,tag6,tag7
revia,m,1,prescription,"alcohol use disorder, opioid use disorder",,,,['prescription'],"['alcohol use disorder', 'opioid use disorder']",,,,,
revive active,m,2,supplement,general health,,,,['supplement'],['general health'],,,,,
rhodiola,m,1,supplement,"anxiety, depression, stress",,,,['supplement'],"['anxiety', 'depression', 'stress']",,,,,
riboflavin,m,1,supplement,general health,,,,['supplement'],['general health'],,,,,
rifaximin,m,1,prescription,"diarrhea, hepatic encephalopathy, irritable bowel syndrome",,,,['prescription'],"['diarrhea', 'hepatic encephalopathy', 'irritable bowel syndrome']",,,,,
risperdal,m,1,prescription,"schizophrenia, bipolar disorder",,,,['prescription'],"['schizophrenia', 'bipolar disorder']",,,,,
risperidone,m,1,prescription,"schizophrenia, bipolar disorder",,,,['prescription'],"['schizophrenia', 'bipolar disorder']",,"['fried', 'saturated fat']",,,
ritalin,m,1,prescription,"adhd, narcolepsy",,,,['prescription'],"['adhd', 'narcolepsy']",,,,,
rivaroxaban,m,1,prescription,"blood clot, atrial fibrillation",,,,['prescription'],"['blood clot', 'atrial fibrillation']",,,,,
robaxin,m,1,prescription,muscle pain,,,,['prescription'],['muscle pain'],,,,,
rosuvastatin,m,1,prescription,hypercholesterolaemia,statin,,statin,['prescription'],['hypercholesterolaemia'],,,,,
saccharomyces boulardii,m,2,supplement,diarrhea,,,,['supplement'],['diarrhea'],,,,,
salazopyrin,m,1,prescription,"ulcerative colitis, crohns disease, inflammatory bowel disease",,,,['prescription'],"['ulcerative colitis', 'crohns disease', 'inflammatory bowel disease']",,,,,
salbutamol,m,1,prescription,"asthma, chronic obstructive pulmonary disease",,,,['prescription'],"['asthma', 'chronic obstructive pulmonary disease']",,,,,
salures,m,1,prescription,hypertension,,,diuretics (thiazide),['prescription'],['hypertension'],,['added sugar'],,,
savella,m,1,prescription,fibromyalgia,,,,['prescription'],['fibromyalgia'],,,,,
saw palmetto,m,2,supplement,benign prostatic hyperplasia,,,,['supplement'],['benign prostatic hyperplasia'],,,,,
selenium,m,1,supplement,antioxidant,,,,['supplement'],['antioxidant'],,,,,
senokot,m,1,supplement,digestive health,,,,['supplement'],['digestive health'],,,,,
seretide,m,1,prescription,"asthma, chronic obstructive pulmonary disease",,,,['prescription'],"['asthma', 'chronic obstructive pulmonary disease']",['quetiapine'],,,,
seroquel,m,1,prescription,"schizophrenia, acute manic episode, depression",quetiapine,,,['prescription'],"['schizophrenia', 'acute manic episode', 'depression']",,,,,
seroxat,m,1,prescription,"depression, obessive compulsive disorder, panic attack, anxiety, ptsd",,,,['prescription'],"['depression', 'obessive compulsive disorder', 'panic attack', 'anxiety', 'ptsd']",,,,,
serrapeptase,m,1,supplement,inflammation,,,,['supplement'],['inflammation'],,,,,
sertraline,m,1,prescription,"depression, obsessive compulsive disorder, panic disorder",,,,['prescription'],"['depression', 'obsessive compulsive disorder', 'panic disorder']",,,,,
shroom tech immune,m,3,supplement,immune support,,,,['supplement'],['immune support'],,,,,
silica,m,1,supplement,collagen production,,,,['supplement'],['collagen production'],,,,,
silymarin,m,1,supplement,"liver disease, hepatitis",,,,['supplement'],"['liver disease', 'hepatitis']",,,,,
simbrinza,m,1,prescription,"open angle glaucoma, ocular hypertension",,,,['prescription'],"['open angle glaucoma', 'ocular hypertension']",,,,,
simbrinza eye drop,m,3,prescription,"open angle glaucoma, ocular hypertension",,,,['prescription'],"['open angle glaucoma', 'ocular hypertension']",,,,,
similase,m,1,supplement,digestive health,,,,['supplement'],['digestive health'],,,,,
simvastatin,m,1,prescription,cholesterol,statin,,,['prescription'],['cholesterol'],,,,,
sinemet,m,1,prescription,parkinsons disease,,,,['prescription'],['parkinsons disease'],,,,,
singulair,m,1,prescription,"asthma, hay fever, allergic rhinitis",,montelukast,,['prescription'],"['asthma', 'hay fever', 'allergic rhinitis']",,,,,
sinupret,m,1,supplement,"congestion, immune support",,,,['supplement'],"['congestion', 'immune support']",,,,,
skin supplement,m,2,category,skin care,,,,['category'],['skin care'],,,,,
sleep aid,m,2,category,sleep,,,,['category'],['sleep'],,,,,
slimvance,m,1,supplement,weight loss,,,,['supplement'],['weight loss'],,,,,
slippery elm,m,2,supplement,"inflammation, cough, sore throat",,,,['supplement'],"['inflammation', 'cough', 'sore throat']",,,,,
sod,m,1,supplement,"antioxidant, skin care",,superoxide dismutase,,['supplement'],"['antioxidant', 'skin care']",,"['caffeine', 'added sugar']",,,
solgar vm prime adult,m,4,supplement,general health,,,,['supplement'],['general health'],,,['proton pump inhibitor'],,
somac,m,1,prescription,"gerd, zollinger ellison syndrome, ulcer",,,proton pump inhibitor,['prescription'],"['gerd', 'zollinger ellison syndrome', 'ulcer']",,,,,
sorvasta,m,1,prescription,"hypercholesterolaemia, heart disease, diabetes",,,statin,['prescription'],"['hypercholesterolaemia', 'heart disease', 'diabetes']",,,,,
spasmex,m,1,prescription,urinary bladder impairment,,,,['prescription'],['urinary bladder impairment'],,,,,
spectravite,m,1,supplement,"vitamin deficiency, general health",,,,['supplement'],"['vitamin deficiency', 'general health']",,,,,
spermidine,m,1,supplement,general health,,,,['supplement'],['general health'],,,,,
spice,m,1,supplement,"inflammation, joint health",,,,['supplement'],"['inflammation', 'joint health']",,,,,
spiriva,m,1,prescription,"asthma, chronic obstructive pulmonary disease, bronchitis, emphysema",,,,['prescription'],"['asthma', 'chronic obstructive pulmonary disease', 'bronchitis', 'emphysema']",,,,,
spiriva respimat,m,2,prescription,"asthma, chronic obstructive pulmonary disease, bronchitis, emphysema",,,,['prescription'],"['asthma', 'chronic obstructive pulmonary disease', 'bronchitis', 'emphysema']",,,,,
spironolactone,m,1,prescription,"hyperaldosteronism, potassium deficiency, edema",,,,['prescription'],"['hyperaldosteronism', 'potassium deficiency', 'edema']",,,,,
sport glucosamine,m,2,supplement,joint pain,,,,['supplement'],['joint pain'],,,,,
sprintec,m,1,prescription,contraceptive,,,,['prescription'],['contraceptive'],,"['added sugar', 'caffeine']",,,
squalene,m,1,supplement,skin care,,,,['supplement'],['skin care'],,,,,
ssri,m,1,category,depression,,,,['category'],['depression'],,,,,
st johns wort,m,3,supplement,depression,,,,['supplement'],['depression'],,,,,
statin,m,1,"category, prescription",hypercholesterolaemia,,,statin,"['category', 'prescription']",['hypercholesterolaemia'],['beef'],['saturated fat'],,,
stilnoct,m,1,prescription,insomnia,zolpidem,,,['prescription'],['insomnia'],,,,,
stimbifid,m,1,otc,constipation,,,,['otc'],['constipation'],,,,,
stool softener,m,2,otc,constipation,,,,['otc'],['constipation'],,,,,
strattera,m,1,prescription,adhd,,,,['prescription'],['adhd'],,,,,
suboxone,m,1,prescription,opioid use disorder,,,,['prescription'],['opioid use disorder'],,,,,
succinic acid,m,2,supplement,"inflammation, skin care",,,,['supplement'],"['inflammation', 'skin care']",,,,,
sudafed,m,1,otc,"cold, congestion",,,,['otc'],"['cold', 'congestion']",,,,,
sulfasalazine,m,1,prescription,"rheumatoid arthritis, inflammatory bowel disease",,,,['prescription'],"['rheumatoid arthritis', 'inflammatory bowel disease']",,,,,
sulforaphane,m,1,supplement,"prostate cancer, cardiovascular disease, diabetes",,,,['supplement'],"['prostate cancer', 'cardiovascular disease', 'diabetes']",,['added sugar'],,,
sumatriptan,m,1,prescription,migraine,,,,['prescription'],['migraine'],,,,,
super c immune complex,m,4,supplement,general health,,,,['supplement'],['general health'],,,['supplement'],,
super k,m,2,supplement,"bone health, heart health",,,,['supplement'],"['bone health', 'heart health']",,,,,
supergreens,m,1,supplement,general health,,,,['supplement'],['general health'],,,,,
superhd,m,1,supplement,weight loss,,,,['supplement'],['weight loss'],,,['supplement'],,
supplement,m,1,"supplement, category",general health,,,,"['supplement', 'category']",['general health'],,,,,
supracal,m,1,supplement,general health,,,,['supplement'],['general health'],,,,,
symbicort,m,1,prescription,asthma,copd,inhaled steroid with long acting beta agonist,,['prescription'],['asthma'],,,,,
symprove,m,1,supplement,"general health, gut health, immune support",,,,['supplement'],"['general health', 'gut health', 'immune support']",,,,,
synbiotic,m,1,supplement,"general health, gut health",,,,['supplement'],"['general health', 'gut health']",,,,,
synthroid,m,1,prescription,hypothyroidism,,,,['prescription'],['hypothyroidism'],,"['additive', 'added sugar']",,,
tacrolimus,m,1,prescription,organ transplant,,,,['prescription'],['organ transplant'],,['adcirca'],,,
tadalafil,m,1,prescription,"erectile dysfunction, benign prostatic hyperplasia",,adcirca,,['prescription'],"['erectile dysfunction', 'benign prostatic hyperplasia']",,"['added sugar', 'highly processed']",,,
tagamet,m,1,"prescription, otc","ulcer, zollinger ellison syndrome, gerd",,,,"['prescription', 'otc']","['ulcer', 'zollinger ellison syndrome', 'gerd']",,,,,
tamoxifen,m,1,prescription,breast cancer,,,,['prescription'],['breast cancer'],,,,,
tamsulosin,m,1,prescription,benign prostatic hyperplasia,,,,['prescription'],['benign prostatic hyperplasia'],,,,,
taracyn,m,1,supplement,liver health,,,,['supplement'],['liver health'],,,,,
taurine,m,1,supplement,general health,,,,['supplement'],['general health'],,,,,
tegretol,m,1,brand,seizure,,,,['brand'],['seizure'],,,,,
telfast,m,1,otc,"allergy, hay fever",,,,['otc'],"['allergy', 'hay fever']",,,,,
tenormin,m,1,prescription,"hypertension, angina",,,beta-blocker,['prescription'],"['hypertension', 'angina']",['straight'],['fermented'],,,
terazosin,m,1,prescription,benign prostatic hyperplasia,,,,['prescription'],['benign prostatic hyperplasia'],['antifungal'],,,,
terbinafine,m,1,prescription,"fungal infection, jock itch, athletes foot",antifungal,,,['prescription'],"['fungal infection', 'jock itch', 'athletes foot']",,,,,
terrazyme,m,1,supplement,digestive health,,,,['supplement'],['digestive health'],,,,,
testosterone,m,1,supplement,general health,,,,['supplement'],['general health'],,,,,
theanine,m,1,supplement,"brain health, anxiety, stress",,,,['supplement'],"['brain health', 'anxiety', 'stress']",,,,,
theracurmin,m,1,supplement,"osteoarthritis, pain relief, inflammation",,,,['supplement'],"['osteoarthritis', 'pain relief', 'inflammation']",,,,,
theracurmin hp,m,2,supplement,"osteoarthritis, pain relief, inflammation",,,,['supplement'],"['osteoarthritis', 'pain relief', 'inflammation']",,,,,
thimamine,m,1,supplement,"thiamine deficiency, wernicke korsakoff syndrome",,,,['supplement'],"['thiamine deficiency', 'wernicke korsakoff syndrome']",,,,,
